,prompt,classes
0,"Q: Count the number of letters in the word 'england' ? 
 A: ","[' 7', ' seven']"
1,"Q: How many occurences of the letter 'e' occur in the word 'england' ? 
 A: ","[' 1', ' one']"
2,"Q: How many occurences of the letter 'a' occur in the word 'england' ? 
 A: ","[' 1', ' one']"
3,"Q: How many occurences of the letter 'n' occur in the word 'england' ? 
 A: ","[' 2', ' two']"
4,"Q: How many occurences of the letter 'g' occur in the word 'england' ? 
 A: ","[' 1', ' one']"
5,"Q: How many occurences of the letter 'd' occur in the word 'england' ? 
 A: ","[' 1', ' one']"
6,"Q: How many occurences of the letter 'l' occur in the word 'england' ? 
 A: ","[' 1', ' one']"
7,"Q: Count the number of letters in the word 'france' ? 
 A: ","[' 6', ' six']"
8,"Q: How many occurences of the letter 'f' occur in the word 'france' ? 
 A: ","[' 1', ' one']"
9,"Q: How many occurences of the letter 'e' occur in the word 'france' ? 
 A: ","[' 1', ' one']"
10,"Q: How many occurences of the letter 'a' occur in the word 'france' ? 
 A: ","[' 1', ' one']"
11,"Q: How many occurences of the letter 'n' occur in the word 'france' ? 
 A: ","[' 1', ' one']"
12,"Q: How many occurences of the letter 'r' occur in the word 'france' ? 
 A: ","[' 1', ' one']"
13,"Q: How many occurences of the letter 'c' occur in the word 'france' ? 
 A: ","[' 1', ' one']"
14,"Q: Count the number of letters in the word 'germany' ? 
 A: ","[' 7', ' seven']"
15,"Q: How many occurences of the letter 'e' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
16,"Q: How many occurences of the letter 'a' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
17,"Q: How many occurences of the letter 'g' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
18,"Q: How many occurences of the letter 'n' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
19,"Q: How many occurences of the letter 'y' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
20,"Q: How many occurences of the letter 'r' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
21,"Q: How many occurences of the letter 'm' occur in the word 'germany' ? 
 A: ","[' 1', ' one']"
22,"Q: Count the number of letters in the word 'russia' ? 
 A: ","[' 6', ' six']"
23,"Q: How many occurences of the letter 'i' occur in the word 'russia' ? 
 A: ","[' 1', ' one']"
24,"Q: How many occurences of the letter 'a' occur in the word 'russia' ? 
 A: ","[' 1', ' one']"
25,"Q: How many occurences of the letter 's' occur in the word 'russia' ? 
 A: ","[' 2', ' two']"
26,"Q: How many occurences of the letter 'u' occur in the word 'russia' ? 
 A: ","[' 1', ' one']"
27,"Q: How many occurences of the letter 'r' occur in the word 'russia' ? 
 A: ","[' 1', ' one']"
28,"Q: Count the number of letters in the word 'austria' ? 
 A: ","[' 7', ' seven']"
29,"Q: How many occurences of the letter 'i' occur in the word 'austria' ? 
 A: ","[' 1', ' one']"
30,"Q: How many occurences of the letter 'a' occur in the word 'austria' ? 
 A: ","[' 2', ' two']"
31,"Q: How many occurences of the letter 's' occur in the word 'austria' ? 
 A: ","[' 1', ' one']"
32,"Q: How many occurences of the letter 't' occur in the word 'austria' ? 
 A: ","[' 1', ' one']"
33,"Q: How many occurences of the letter 'u' occur in the word 'austria' ? 
 A: ","[' 1', ' one']"
34,"Q: How many occurences of the letter 'r' occur in the word 'austria' ? 
 A: ","[' 1', ' one']"
35,"Q: Count the number of letters in the word 'america' ? 
 A: ","[' 7', ' seven']"
36,"Q: How many occurences of the letter 'c' occur in the word 'america' ? 
 A: ","[' 1', ' one']"
37,"Q: How many occurences of the letter 'e' occur in the word 'america' ? 
 A: ","[' 1', ' one']"
38,"Q: How many occurences of the letter 'i' occur in the word 'america' ? 
 A: ","[' 1', ' one']"
39,"Q: How many occurences of the letter 'a' occur in the word 'america' ? 
 A: ","[' 2', ' two']"
40,"Q: How many occurences of the letter 'r' occur in the word 'america' ? 
 A: ","[' 1', ' one']"
41,"Q: How many occurences of the letter 'm' occur in the word 'america' ? 
 A: ","[' 1', ' one']"
42,"Q: Count the number of letters in the word 'canada' ? 
 A: ","[' 6', ' six']"
43,"Q: How many occurences of the letter 'n' occur in the word 'canada' ? 
 A: ","[' 1', ' one']"
44,"Q: How many occurences of the letter 'a' occur in the word 'canada' ? 
 A: ","[' 3', ' three']"
45,"Q: How many occurences of the letter 'c' occur in the word 'canada' ? 
 A: ","[' 1', ' one']"
46,"Q: How many occurences of the letter 'd' occur in the word 'canada' ? 
 A: ","[' 1', ' one']"
47,"Q: Count the number of letters in the word 'china' ? 
 A: ","[' 5', ' five']"
48,"Q: How many occurences of the letter 'i' occur in the word 'china' ? 
 A: ","[' 1', ' one']"
49,"Q: How many occurences of the letter 'a' occur in the word 'china' ? 
 A: ","[' 1', ' one']"
50,"Q: How many occurences of the letter 'h' occur in the word 'china' ? 
 A: ","[' 1', ' one']"
51,"Q: How many occurences of the letter 'n' occur in the word 'china' ? 
 A: ","[' 1', ' one']"
52,"Q: How many occurences of the letter 'c' occur in the word 'china' ? 
 A: ","[' 1', ' one']"
53,"Q: Count the number of letters in the word 'india' ? 
 A: ","[' 5', ' five']"
54,"Q: How many occurences of the letter 'd' occur in the word 'india' ? 
 A: ","[' 1', ' one']"
55,"Q: How many occurences of the letter 'a' occur in the word 'india' ? 
 A: ","[' 1', ' one']"
56,"Q: How many occurences of the letter 'n' occur in the word 'india' ? 
 A: ","[' 1', ' one']"
57,"Q: How many occurences of the letter 'i' occur in the word 'india' ? 
 A: ","[' 2', ' two']"
58,"Q: Count the number of letters in the word 'brazil' ? 
 A: ","[' 6', ' six']"
59,"Q: How many occurences of the letter 'i' occur in the word 'brazil' ? 
 A: ","[' 1', ' one']"
60,"Q: How many occurences of the letter 'z' occur in the word 'brazil' ? 
 A: ","[' 1', ' one']"
61,"Q: How many occurences of the letter 'a' occur in the word 'brazil' ? 
 A: ","[' 1', ' one']"
62,"Q: How many occurences of the letter 'b' occur in the word 'brazil' ? 
 A: ","[' 1', ' one']"
63,"Q: How many occurences of the letter 'r' occur in the word 'brazil' ? 
 A: ","[' 1', ' one']"
64,"Q: How many occurences of the letter 'l' occur in the word 'brazil' ? 
 A: ","[' 1', ' one']"
65,"Q: Count the number of letters in the word 'dune' ? 
 A: ","[' 4', ' four']"
66,"Q: How many occurences of the letter 'u' occur in the word 'dune' ? 
 A: ","[' 1', ' one']"
67,"Q: How many occurences of the letter 'e' occur in the word 'dune' ? 
 A: ","[' 1', ' one']"
68,"Q: How many occurences of the letter 'd' occur in the word 'dune' ? 
 A: ","[' 1', ' one']"
69,"Q: How many occurences of the letter 'n' occur in the word 'dune' ? 
 A: ","[' 1', ' one']"
70,"Q: Count the number of letters in the word 'mars' ? 
 A: ","[' 4', ' four']"
71,"Q: How many occurences of the letter 'a' occur in the word 'mars' ? 
 A: ","[' 1', ' one']"
72,"Q: How many occurences of the letter 'm' occur in the word 'mars' ? 
 A: ","[' 1', ' one']"
73,"Q: How many occurences of the letter 's' occur in the word 'mars' ? 
 A: ","[' 1', ' one']"
74,"Q: How many occurences of the letter 'r' occur in the word 'mars' ? 
 A: ","[' 1', ' one']"
75,"Q: Count the number of letters in the word 'jupiter' ? 
 A: ","[' 7', ' seven']"
76,"Q: How many occurences of the letter 'e' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
77,"Q: How many occurences of the letter 'i' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
78,"Q: How many occurences of the letter 'p' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
79,"Q: How many occurences of the letter 'j' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
80,"Q: How many occurences of the letter 't' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
81,"Q: How many occurences of the letter 'u' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
82,"Q: How many occurences of the letter 'r' occur in the word 'jupiter' ? 
 A: ","[' 1', ' one']"
83,"Q: Count the number of letters in the word 'saturn' ? 
 A: ","[' 6', ' six']"
84,"Q: How many occurences of the letter 'a' occur in the word 'saturn' ? 
 A: ","[' 1', ' one']"
85,"Q: How many occurences of the letter 's' occur in the word 'saturn' ? 
 A: ","[' 1', ' one']"
86,"Q: How many occurences of the letter 't' occur in the word 'saturn' ? 
 A: ","[' 1', ' one']"
87,"Q: How many occurences of the letter 'u' occur in the word 'saturn' ? 
 A: ","[' 1', ' one']"
88,"Q: How many occurences of the letter 'n' occur in the word 'saturn' ? 
 A: ","[' 1', ' one']"
89,"Q: How many occurences of the letter 'r' occur in the word 'saturn' ? 
 A: ","[' 1', ' one']"
90,"Q: Count the number of letters in the word 'venus' ? 
 A: ","[' 5', ' five']"
91,"Q: How many occurences of the letter 'e' occur in the word 'venus' ? 
 A: ","[' 1', ' one']"
92,"Q: How many occurences of the letter 's' occur in the word 'venus' ? 
 A: ","[' 1', ' one']"
93,"Q: How many occurences of the letter 'u' occur in the word 'venus' ? 
 A: ","[' 1', ' one']"
94,"Q: How many occurences of the letter 'n' occur in the word 'venus' ? 
 A: ","[' 1', ' one']"
95,"Q: How many occurences of the letter 'v' occur in the word 'venus' ? 
 A: ","[' 1', ' one']"
96,"Q: Count the number of letters in the word 'mercury' ? 
 A: ","[' 7', ' seven']"
97,"Q: How many occurences of the letter 'm' occur in the word 'mercury' ? 
 A: ","[' 1', ' one']"
98,"Q: How many occurences of the letter 'e' occur in the word 'mercury' ? 
 A: ","[' 1', ' one']"
99,"Q: How many occurences of the letter 'u' occur in the word 'mercury' ? 
 A: ","[' 1', ' one']"
100,"Q: How many occurences of the letter 'y' occur in the word 'mercury' ? 
 A: ","[' 1', ' one']"
101,"Q: How many occurences of the letter 'r' occur in the word 'mercury' ? 
 A: ","[' 2', ' two']"
102,"Q: How many occurences of the letter 'c' occur in the word 'mercury' ? 
 A: ","[' 1', ' one']"
103,"Q: Count the number of letters in the word 'uranus' ? 
 A: ","[' 6', ' six']"
104,"Q: How many occurences of the letter 'a' occur in the word 'uranus' ? 
 A: ","[' 1', ' one']"
105,"Q: How many occurences of the letter 's' occur in the word 'uranus' ? 
 A: ","[' 1', ' one']"
106,"Q: How many occurences of the letter 'u' occur in the word 'uranus' ? 
 A: ","[' 2', ' two']"
107,"Q: How many occurences of the letter 'n' occur in the word 'uranus' ? 
 A: ","[' 1', ' one']"
108,"Q: How many occurences of the letter 'r' occur in the word 'uranus' ? 
 A: ","[' 1', ' one']"
109,"Q: Count the number of letters in the word 'giedi' ? 
 A: ","[' 5', ' five']"
110,"Q: How many occurences of the letter 'd' occur in the word 'giedi' ? 
 A: ","[' 1', ' one']"
111,"Q: How many occurences of the letter 'e' occur in the word 'giedi' ? 
 A: ","[' 1', ' one']"
112,"Q: How many occurences of the letter 'g' occur in the word 'giedi' ? 
 A: ","[' 1', ' one']"
113,"Q: How many occurences of the letter 'i' occur in the word 'giedi' ? 
 A: ","[' 2', ' two']"
114,"Q: Count the number of letters in the word 'caladan' ? 
 A: ","[' 7', ' seven']"
115,"Q: How many occurences of the letter 'a' occur in the word 'caladan' ? 
 A: ","[' 3', ' three']"
116,"Q: How many occurences of the letter 'd' occur in the word 'caladan' ? 
 A: ","[' 1', ' one']"
117,"Q: How many occurences of the letter 'n' occur in the word 'caladan' ? 
 A: ","[' 1', ' one']"
118,"Q: How many occurences of the letter 'c' occur in the word 'caladan' ? 
 A: ","[' 1', ' one']"
119,"Q: How many occurences of the letter 'l' occur in the word 'caladan' ? 
 A: ","[' 1', ' one']"
120,"Q: Count the number of letters in the word 'kaitan' ? 
 A: ","[' 6', ' six']"
121,"Q: How many occurences of the letter 'i' occur in the word 'kaitan' ? 
 A: ","[' 1', ' one']"
122,"Q: How many occurences of the letter 'a' occur in the word 'kaitan' ? 
 A: ","[' 2', ' two']"
123,"Q: How many occurences of the letter 't' occur in the word 'kaitan' ? 
 A: ","[' 1', ' one']"
124,"Q: How many occurences of the letter 'k' occur in the word 'kaitan' ? 
 A: ","[' 1', ' one']"
