,Unnamed: 0,prompt,answer,ada-response,babbage-response,curie-response,davinci-response,ada-classification,babbage-classification,curie-classification,davinci-classification
0,0,"Q: Count the number of letters in the word 'england' ? 
 A: ","7,seven","_____

Q: What is the first letter of the word 'england'?  _____

A: _____

Q: What is the first letter of the word 'england'?  _____

A: ","

Q: What is the first letter of the word 'england' ?

A: 

Q: What is the first letter of the word 'england' ?

A: 

Q: What is"," 8
Q: How many letters are in the word 'england' ?  A:  8
Q: How many letters are in the word 'england' ?  A:  8
Q: How","

Q: What is the sum of the digits of the number 'one thousand and twenty-one' ? 
 A: 

Q: What is the sum of the digits of the number 'one thousand and twenty-two'",False,False,False,False
1,1,"Q: How many times does the letter 'e' occur in the word 'england' ? 
 A: ","1,one","_____

Q: How many times does the letter 'e' occur in the word 'england' ?  A: _____

Q: How many times does the letter 'e' occur in the word 'england' ?","

Q: What is the longest word in the English language?

A: 

Q: What is the shortest word in the English language?

A: 

Q: What is the longest word in the English"," 3 times.
Q: How many times does the letter 'g' occur in the word 'england' ?  A:  3 times.
Q: How many times does the letter 'l' occur in the word","

Q: How many times does the letter 'e' occur in the word 'england' ? 
 A: 

Q: How many times does the letter 'e' occur in the word 'england' ? ",False,False,False,False
2,2,"Q: How many times does the letter 'a' occur in the word 'england' ? 
 A: ","1,one","_____

Q: How many times does the letter 'a' occur in the word 'england' ?  A: _____

Q: How many times does the letter 'a' occur in the word 'england' ?","

Q: What is the longest word in the English language?
 A: 

Q: What is the shortest word in the English language?
 A: 

Q: What is the longest word in the English language?"," 3 times.
Q: How many times does the letter 'e' occur in the word 'england' ?  A:  2 times.
Q: How many times does the letter 'g' occur in the word","

Q: How many times does the letter 'a' occur in the word 'england' ? 
 A: 

Q: How many times does the letter 'a' occur in the word 'england' ? ",False,False,False,False
3,3,"Q: How many times does the letter 'n' occur in the word 'england' ? 
 A: ","2,two"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the English language?

A: 

Q: What is the shortest word in the English language?

A: 

Q: What is the longest word in the English"," 3 times.
Q: How many times does the letter 'r' occur in the word 'england' ?  A:  2 times.
Q: How many times does the letter 'e' occur in the word","

Q: What is the sum of all the numbers on the back of a standard deck of playing cards ? 
 A: 

Q: What is the sum of all the numbers on the back of a standard deck of playing cards",False,False,True,False
4,4,"Q: How many times does the letter 'g' occur in the word 'england' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the English language?

A: 

Q: What is the shortest word in the English language?

A: 

Q: What is the longest word in the English"," 3 times.
Q: How many times does the letter 'g' occur in the word 'england' ?  A:  3 times.
Q: How many times does the letter 'g' occur in the word","

Q: How many times does the letter 'g' occur in the word 'england' ? 
 A: 

Q: How many times does the letter 'g' occur in the word 'england' ? ",False,False,False,False
5,5,"Q: How many times does the letter 'd' occur in the word 'england' ? 
 A: ","1,one","_____

Q: How many times does the letter 'e' occur in the word 'england' ?  A: _____

Q: How many times does the letter 'f' occur in the word 'england' ?","

Q: What is the longest word in the English language?

A: 

Q: What is the shortest word in the English language?

A: 

Q: What is the longest word in the English"," 3 times.
Q: How many times does the letter 'e' occur in the word 'england' ?  A:  2 times.
Q: How many times does the letter 'f' occur in the word","

Q: How many times does the letter 'e' occur in the word 'england' ? 
 A: 

Q: How many times does the letter 'f' occur in the word 'england' ? ",False,False,False,False
6,6,"Q: How many times does the letter 'l' occur in the word 'england' ? 
 A: ","1,one"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","

Q: What is the longest word in the English language?

A: 

Q: What is the shortest word in the English language?

A: 

Q: What is the longest word in the English"," 3 times.
Q: How many times does the letter 'n' occur in the word 'england' ?  A:  2 times.
Q: How many times does the letter 'r' occur in the word","

Q: How many times does the letter 'l' occur in the word 'england' ? 
 A: 

Q: How many times does the letter 'l' occur in the word 'england' ? ",False,False,False,False
7,7,"Q: Count the number of letters in the word 'france' ? 
 A: ","6,six","_____

Q: What is the name of the country in France? _____

A: _____

Q: What is the name of the country in France? _____

A: _____

Q: What","

Q: What is the first letter of the word 'france' ?

A: A

Q: What is the first letter of the word 'france' ?

A: A

Q: What is"," 8
Q: How many letters are there in the word 'france' ?  A:  8
Q: How many letters are there in the word 'france' ?  A:  8
Q","

Q: What is the sum of all the numbers from 1 to 100 ? 
 A: 

Q: What is the sum of all the numbers from 1 to 1000 ? 
 A: 

Q: What is",False,False,False,False
8,8,"Q: How many times does the letter 'f' occur in the word 'france' ? 
 A: ","1,one","_______________

Q: How many times does the letter 'f' occur in the word 'france' ?  A: _______________

Q: How many times does the letter 'f' occur in the word 'france","

Q: What is the longest word in the word 'france' ?

A: 

Q: What is the shortest word in the word 'france' ?

A: 

Q: What is"," 3 times.
Q: How many times does the letter 'g' occur in the word 'golf' ?  A:  3 times.
Q: How many times does the letter 'h' occur in the word","

Q: How many times does the letter 'f' occur in the word 'france' ? 
 A: 

Q: How many times does the letter 'f' occur in the word 'france' ? ",False,False,False,False
9,9,"Q: How many times does the letter 'e' occur in the word 'france' ? 
 A: ","1,one","_____

Q: How many times does the letter 'e' occur in the word 'france' ?  A: _____

Q: How many times does the letter 'e' occur in the word 'france' ?","

Q: What is the longest word in the word 'french'?

A: 

Q: What is the shortest word in the word 'french'?

A: 

Q: What is the first"," 3 times.
Q: How many times does the letter 'e' occur in the word 'french' ?  A:  3 times.
Q: How many times does the letter 'e' occur in the word","

Q: How many times does the letter 'e' occur in the word 'france' ? 
 A: 

Q: How many times does the letter 'e' occur in the word 'france' ? ",False,False,False,False
