,prompt,classes,answer_index
0,"Q: Is the following equation valid: 1 / 10 - 9 + 2 + 10 - 2 = 2.0999999999999996?
A) True
B) False
A:","[' True', ' False']",1
1,"Q: Is the following equation valid: 4 + 10 / 5 / 1 / 5 * 10 = 5.6?
A) True
B) False
A:","[' True', ' False']",0
2,"Q: Is the following equation valid: 2 - 1 / 2 + 1 / 5 / 4 = -1.925?
A) True
B) False
A:","[' True', ' False']",1
3,"Q: Is the following equation valid: 3 * 4 - 2 + 6 / 3 * 6 = 32.0?
A) True
B) False
A:","[' True', ' False']",0
4,"Q: Is the following equation valid: 10 / 8 / 2 - 3 - 3 - 9 = -14.375?
A) True
B) False
A:","[' True', ' False']",1
5,"Q: Is the following equation valid: 5 / 2 / 8 * 1 + 9 * 8 = 73.5?
A) True
B) False
A:","[' True', ' False']",1
6,"Q: Is the following equation valid: 10 / 8 * 7 - 4 - 3 + 6 = 4.75?
A) True
B) False
A:","[' True', ' False']",1
7,"Q: Is the following equation valid: 1 * 4 + 9 / 10 / 8 + 5 = 5.1625?
A) True
B) False
A:","[' True', ' False']",0
8,"Q: Is the following equation valid: 1 / 6 - 8 + 3 / 4 - 2 = -2.208333333333333?
A) True
B) False
A:","[' True', ' False']",1
9,"Q: Is the following equation valid: 3 * 3 / 3 + 1 / 6 / 5 = 0.13333333333333333?
A) True
B) False
A:","[' True', ' False']",0
10,"Q: Is the following equation valid: 5 - 1 + 10 * 4 - 4 + 5 = 57?
A) True
B) False
A:","[' True', ' False']",0
11,"Q: Is the following equation valid: 1 * 8 + 7 / 8 + 2 * 3 = 11.625?
A) True
B) False
A:","[' True', ' False']",0
12,"Q: Is the following equation valid: 6 - 10 / 5 * 7 - 3 / 7 = -1.2285714285714289?
A) True
B) False
A:","[' True', ' False']",0
13,"Q: Is the following equation valid: 2 * 1 - 3 + 1 + 2 + 4 = 6?
A) True
B) False
A:","[' True', ' False']",0
14,"Q: Is the following equation valid: 10 - 3 / 4 * 7 - 2 + 5 = 15.25?
A) True
B) False
A:","[' True', ' False']",0
15,"Q: Is the following equation valid: 8 / 10 / 1 / 3 - 9 - 7 = -15.733333333333333?
A) True
B) False
A:","[' True', ' False']",0
16,"Q: Is the following equation valid: 8 - 9 - 10 * 2 / 9 * 1 = -2.4444444444444446?
A) True
B) False
A:","[' True', ' False']",0
17,"Q: Is the following equation valid: 1 - 6 - 3 * 2 * 1 / 1 = -16.0?
A) True
B) False
A:","[' True', ' False']",0
18,"Q: Is the following equation valid: 8 / 10 + 3 * 7 + 4 + 9 = 42.599999999999994?
A) True
B) False
A:","[' True', ' False']",1
19,"Q: Is the following equation valid: 4 - 5 / 1 * 5 * 10 * 4 = -199.0?
A) True
B) False
A:","[' True', ' False']",1
20,"Q: Is the following equation valid: 2 - 5 - 1 + 7 / 7 / 6 = 0.07142857142857142?
A) True
B) False
A:","[' True', ' False']",0
21,"Q: Is the following equation valid: 10 * 9 * 2 + 10 + 4 - 9 = 185?
A) True
B) False
A:","[' True', ' False']",0
22,"Q: Is the following equation valid: 10 - 10 / 8 / 10 / 6 - 3 = -1.0?
A) True
B) False
A:","[' True', ' False']",1
23,"Q: Is the following equation valid: 5 + 5 / 7 - 6 / 1 * 2 = -8.142857142857142?
A) True
B) False
A:","[' True', ' False']",1
24,"Q: Is the following equation valid: 1 * 3 / 6 - 7 + 2 * 5 = -23.5?
A) True
B) False
A:","[' True', ' False']",1
25,"Q: Is the following equation valid: 4 * 1 + 4 * 2 / 5 * 4 = 16.8?
A) True
B) False
A:","[' True', ' False']",1
26,"Q: Is the following equation valid: 1 - 4 * 7 / 5 + 4 + 5 = 8.8?
A) True
B) False
A:","[' True', ' False']",1
27,"Q: Is the following equation valid: 4 / 4 * 5 - 4 * 6 / 4 = 2.5?
A) True
B) False
A:","[' True', ' False']",1
28,"Q: Is the following equation valid: 2 * 6 / 2 + 4 * 5 * 4 = 203.0?
A) True
B) False
A:","[' True', ' False']",1
29,"Q: Is the following equation valid: 4 + 3 / 3 * 8 + 7 + 9 = 34.66666666666667?
A) True
B) False
A:","[' True', ' False']",0
30,"Q: Is the following equation valid: 4 + 6 - 7 / 5 / 6 + 9 = 10.1?
A) True
B) False
A:","[' True', ' False']",1
31,"Q: Is the following equation valid: 1 * 7 + 9 * 9 + 1 * 9 = 1305?
A) True
B) False
A:","[' True', ' False']",0
32,"Q: Is the following equation valid: 1 * 2 - 1 + 10 / 3 - 5 = -1.3333333333333335?
A) True
B) False
A:","[' True', ' False']",0
33,"Q: Is the following equation valid: 1 - 1 * 6 - 7 - 1 / 1 = -8.0?
A) True
B) False
A:","[' True', ' False']",0
34,"Q: Is the following equation valid: 4 + 5 - 8 - 1 + 8 - 5 = 3?
A) True
B) False
A:","[' True', ' False']",0
